frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
4096,496520.821633,253153.856172,98284.721280,71379.190259,71347.170575,71462.452386
65536,102359.040929,53047.602962,52827.058162,52818.079878,52827.777532,52907.123131
8,96604.646482,37693.143607,37028.029856,37032.490721,41342.121922,37018.420536
512,260849.516538,125636.403291,58170.596713,58251.804521,58208.995250,57399.528160
64,170873.781824,59590.684448,59619.245324,59606.694918,60156.216811,59656.277935
4,360387.970999,169043.287149,40641.437598,40620.421871,40642.478800,40633.554472
256,435133.512280,344744.069720,87878.963148,87932.886266,105304.431987,87847.173250
2,444793.148486,58675.794106,58641.360276,58672.695677,58671.897805,58677.297058
32768,81155.631641,81061.334747,75060.171809,75082.739261,75122.542961,75643.315851
2048,175073.921944,117699.755552,69742.227588,69733.665973,105231.184195,69734.228289
128,695538.570457,75695.331507,75083.238549,75710.991507,75768.410931,75113.466216
8192,322167.680856,182192.539425,94067.725353,95841.343454,95926.296775,94161.993134
16,422725.278409,67268.973903,67459.472567,66051.735776,66070.099803,67209.460755
16384,627938.364336,254234.290071,105436.617069,105583.043511,193365.723302,105651.119218
32,460367.577653,115788.038735,114051.333328,114016.269510,114449.717575,114058.611240
1024,1455076.695962,746062.284736,169200.881960,169200.976176,169209.588936,169190.773785
