frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
2,94742.523531,34057.549560,34071.834438,34111.219225,37283.337686,34074.701363
8192,85825.742286,46449.800107,39618.970317,39599.666981,39603.219036,39622.019863
32,55315.631136,36824.396913,36831.803010,36840.969613,37387.761059,36836.759942
4,50697.171686,33398.160024,32373.634288,32402.464150,32376.553136,32409.458172
1024,238846.407616,94592.762863,39904.797844,114089.388819,149478.742238,39933.170999
256,410884.064158,107217.754104,58655.309010,115499.876095,115560.263966,58702.592064
64,1410745.250606,729229.767311,87883.594994,82506.622443,82582.974081,82438.706819
8,94151.611818,57240.819229,57184.692777,57126.529100,57133.881717,57149.560068
4096,362955.866145,86852.237691,86919.498986,87015.087014,86986.672381,86871.251977
2048,501668.909721,63883.026815,63837.862566,66386.074511,68787.845925,63820.724118
16384,560544.847565,71982.596925,66452.854499,71929.511322,75192.057446,66561.079040
128,780219.575273,97681.770879,97699.797912,97617.301704,97652.080925,97719.403283
512,79325.709918,50963.954752,51034.293852,51339.890358,51327.363998,50968.404360
16,716149.408943,452581.958572,101009.278688,101096.911753,100999.294428,101035.834782
65536,591513.647304,296918.743354,53721.452996,53705.515182,54278.458545,53722.098972
32768,1032442.053477,139723.841920,138880.407279,139124.595241,138968.581809,138926.573088
