frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
128,493982.618085,252432.477958,90430.022830,90387.631366,90404.788867,90401.455320
256,76521.548985,92791.970267,61196.025100,61162.689207,61179.067074,61178.291607
32,180717.785710,69363.194441,69946.376311,70010.095643,70033.049448,69391.085097
8192,161651.807868,65981.540517,66030.958133,65994.365426,66030.198099,66000.540430
2,273268.603367,59485.165243,60144.854792,59493.828268,63143.342998,60085.296013
512,304531.978406,51562.682863,51930.877125,52543.136393,52324.675192,51510.477759
8,52187.495504,38664.583549,38008.453547,38027.083441,38133.327458,38031.810606
16,137566.976284,47634.848252,47631.156820,47627.886275,47612.114929,47599.058300
65536,1074397.179679,629739.341926,96884.834231,96897.846669,96885.008562,96898.442965
4,349845.936902,69367.902282,69148.386800,69151.502102,69171.617575,69152.061148
1024,381671.323263,153502.108810,49980.023329,49983.636222,49971.201907,49963.686283
64,317835.899520,135317.712979,52184.591663,52195.127368,52346.072470,52218.171703
2048,77304.508581,63937.615994,53021.742399,52999.988292,52982.382789,53101.607283
32768,1159629.194310,538059.226573,339599.939016,339849.683847,343269.349702,339609.007330
4096,153568.692291,74502.851449,74496.677174,74902.774702,74489.241814,74821.226226
16384,497188.824453,212678.026580,210983.971590,213040.138272,213447.295773,210576.365849
