frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
8192,511900.944623,511826.817437,495837.625190,416857.905901,391704.020681,98245.881883
32768,511400.461267,471599.812636,427616.893640,392442.248556,297966.401656,143688.330768
256,534923.857084,529991.349419,437439.417291,338234.749665,274801.731257,55936.882618
128,892813.354475,779120.521369,576601.293198,309952.444204,123994.557820,106817.931692
64,432198.101693,439080.588412,384531.372076,319212.107601,220621.488845,55344.319718
2,386557.984485,258595.506693,176565.742195,101255.508818,79513.260781,72092.533240
2048,666568.946234,754886.775240,641163.576261,594846.696805,367651.833816,148960.968002
1024,1122189.485025,1021492.070062,973666.467924,877274.350784,420947.413490,156279.743233
16384,808188.729320,786472.750813,791260.680097,871640.934197,921359.703256,256684.712474
16,656082.897037,568094.517300,460817.165631,360401.011120,78189.633558,70155.812468
8,658647.112769,562203.208879,523219.999335,412698.592993,157827.349439,74683.073116
32,1185903.472015,925956.000417,607013.075952,124392.239119,164654.848331,105271.477818
4,311139.351690,248763.956688,203218.733076,122847.921969,59988.947757,49512.445223
4096,1510242.562105,1464469.713526,1519170.191296,1260651.676995,731509.765758,271224.608721
512,1012356.283378,935766.100097,780434.613549,595289.771686,184728.493452,128001.753636
65536,2755496.026904,2676705.099983,2635387.957974,2697244.942633,2700187.684040,2750067.669119
