frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
256,140403.811337,43165.593509,43334.787988,43168.869675,43138.874023,43153.427627
65536,86175.646774,46252.039296,46264.089162,46215.644829,67346.805158,46201.158665
32,44035.216202,32711.085384,32893.092193,32709.826933,32709.304899,32712.577642
128,151595.409693,74214.552670,35624.149492,35617.374524,35616.771513,35544.114224
1024,338729.421996,42209.443292,42200.561999,42218.672492,42981.792692,42204.923789
8192,506296.256553,246111.783198,73546.023278,73528.800901,111834.893249,73573.995372
2048,134255.596781,56854.120229,56616.518976,73479.728551,79848.164863,56610.225216
32768,129806.409048,129705.807680,129759.425407,129773.063800,129798.025027,129734.592896
16,47032.874524,41336.934272,41356.477812,41361.120331,41348.493189,41344.917197
16384,115872.528146,65250.932353,65210.228385,65229.467474,65225.039877,65234.706192
64,350025.224087,165805.118968,39299.911527,39349.205265,39325.850735,39292.600067
4,138025.743682,107280.659371,44472.490182,44475.744052,47096.253163,44503.659984
512,102913.042667,52712.019920,52725.812787,52715.511095,52719.708696,52734.233397
8,120636.867122,41942.693154,41950.288068,41952.680796,44381.087368,41935.755448
4096,375218.553950,125800.329467,125777.229279,125779.627452,125886.102557,125836.319078
2,676756.380497,318342.966524,210727.548750,210702.546074,405426.883714,210631.129520
