frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
32,231039.411017,53428.017968,54470.718134,54649.583420,54454.048950,53428.243636
1024,73190.788710,61998.178602,47574.773504,47612.967467,47635.003579,47806.541174
32768,973903.373634,474361.807792,202298.510785,202293.039707,202289.452464,202256.866059
2,447883.117835,289612.694135,68017.329851,68036.075974,68040.831690,68022.857673
16384,91491.220076,90398.460031,90374.979563,90360.214392,91147.358546,90367.747040
4096,465587.220489,151146.457726,82701.688592,82704.178909,82685.824305,82696.953729
4,71112.742705,35140.366560,35145.086100,35132.510485,35134.939946,35132.552213
64,313412.992730,128427.087260,55714.308225,58212.548106,58247.743184,55901.354957
512,901831.090538,91944.337150,80508.522760,80551.078075,80581.581158,80563.483800
128,348078.728573,229540.971489,59949.512425,60217.114511,60062.617717,59995.061513
16,321161.873140,182934.965367,73483.128764,73509.237413,73512.999850,73449.628849
8,545144.934965,124233.195133,124342.588283,124272.496961,124253.126395,124254.273782
65536,649168.486800,412540.168961,310112.616062,307896.500586,341931.008005,307852.006670
8192,318753.159451,235686.663568,66564.258345,66566.462915,67048.036183,66569.582498
2048,1377420.468755,403308.004833,126273.793231,127231.240260,127021.150026,126350.091872
256,339153.597973,72040.445133,72114.381284,72024.662734,73950.203833,71970.232833
