frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
8192,693634.104416,637260.528778,652340.595671,642447.939918,368620.674845,197987.582654
4,341762.789057,281175.586915,211534.388526,143455.864286,77097.628128,54560.737843
256,964476.362776,910899.794876,718039.203545,531570.612860,477350.898391,136018.512178
32768,754581.393685,737664.774270,696109.147821,659955.125663,566651.182510,185411.022728
128,587129.078133,539787.875961,503455.181562,354364.343486,169982.883853,72195.419453
512,973987.404221,804284.783602,629319.001336,388095.651976,101701.356245,101022.484661
32,474461.716014,372450.261042,349934.620612,246244.857540,159354.169346,69844.229697
65536,48074.925533,47126.377115,47524.088965,47654.034037,65287.380457,119086.690268
4096,1159481.059716,1099307.722005,1047113.534070,1017104.468946,718729.379108,173015.973167
2048,1384052.454371,1303504.847384,1345171.460854,1189224.786492,1002726.585923,203055.443732
8,354139.448335,303898.128291,269907.986466,207886.272022,135024.599388,57738.551644
16,1389076.991248,1141427.521627,871361.124913,720221.446786,123006.173264,103116.040120
1024,935507.172008,840129.741461,665595.640334,289632.747739,121639.100030,120416.332667
2,733538.757936,623246.850284,527719.037187,282713.804727,59750.649369,59180.218832
64,609517.444483,589425.671770,561143.024538,439599.472199,176034.877473,77963.470299
16384,1867540.524940,1847887.816200,1887663.407041,1889065.983917,2196857.620014,2033393.229725
