frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
128,47739.911751,65956.245868,43494.424608,43469.000713,46553.263441,43390.648370
8192,164214.974996,42699.177357,43171.582088,43155.843648,69528.710703,42688.139418
2,605044.649271,244215.019389,138423.620517,135448.459002,138430.556580,138178.586445
16384,348512.637825,241417.978782,75146.685003,75159.684805,75200.289514,75151.492487
1024,94744.654066,45250.646095,45272.142527,45270.041794,45278.114007,45268.089854
32,692105.982746,72396.464679,72438.456858,72425.008395,72869.111700,72399.920863
32768,300403.683771,196126.981130,78615.362634,79002.503384,102326.964946,79032.625200
4,157120.971290,80711.494776,41849.956010,41896.390382,49665.623202,41856.233729
2048,264523.009143,176434.150036,63442.526896,65264.863449,103449.027453,63438.691293
65536,145034.690667,51312.419179,51395.088219,51371.238042,51385.879422,51319.629354
16,1117773.153906,86379.511761,86335.457212,86392.562869,86441.636345,86360.568705
256,334333.336035,53052.398230,53091.594872,53106.720356,53176.522470,53083.225580
8,140122.865208,37169.304823,36908.825137,37085.664063,37167.368026,36994.790552
4096,886998.756528,497003.713642,81300.506192,99805.502889,99796.042457,81281.745890
64,268443.268953,35128.845185,35111.673814,35112.719946,35114.766623,35113.091220
512,1726733.779972,647934.518472,149975.954389,150091.919083,149996.778119,150038.635231
