frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_maximum_flow_time,Dynamic_BAL_njobs100_mode2_maximum_flow_time,Dynamic_BAL_njobs100_mode3_maximum_flow_time,Dynamic_BAL_njobs100_mode4_maximum_flow_time,Dynamic_BAL_njobs100_mode5_maximum_flow_time,Dynamic_BAL_njobs100_mode6_maximum_flow_time
2,322056.873786,322056.873786,322056.873786,322056.873786,322056.873786,322056.873786,6329.000000,6329.000000,6329.000000,6329.000000,6329.000000,6329.000000
8,355935.113095,355839.475847,355839.475847,355839.475847,355935.113095,355839.475847,8048.000000,8048.000000,8048.000000,8048.000000,8048.000000,8048.000000
64,386561.726406,386561.726406,386561.726406,386561.726406,386561.726406,386561.726406,8740.000000,8740.000000,8740.000000,8740.000000,8740.000000,8740.000000
256,445200.166804,445200.166804,445200.166804,445200.166804,445200.166804,445200.166804,9779.000000,9779.000000,9779.000000,9779.000000,9779.000000,9779.000000
128,915044.914626,915068.365821,915068.365821,915068.365821,915068.365821,915068.365821,17964.000000,17964.000000,17964.000000,17964.000000,17964.000000,17964.000000
4,717048.608501,717048.608501,717048.608501,717048.608501,717048.608501,717048.608501,12720.000000,12720.000000,12720.000000,12720.000000,12720.000000,12720.000000
32,897240.840972,897240.840972,897240.840972,897240.840972,897240.840972,897240.840972,16782.000000,16782.000000,16782.000000,16782.000000,16782.000000,16782.000000
16,748226.741206,748357.210823,748357.210823,748357.210823,748357.210823,748357.210823,11602.000000,11602.000000,11602.000000,11602.000000,11602.000000,11602.000000
2048,1104900.404327,1104900.404327,1104900.404327,1104900.404327,1104900.404327,1104900.404327,18704.000000,18704.000000,18704.000000,18704.000000,18704.000000,18704.000000
1024,1215918.680373,1219475.171176,1219475.171176,1219475.171176,1219530.441364,1219475.171176,19296.000000,19296.000000,19296.000000,19296.000000,19296.000000,19296.000000
32768,1625339.488676,1630583.655693,1630583.655693,1630578.791271,1630578.794915,1621415.128608,29797.000000,29797.000000,29797.000000,29797.000000,29797.000000,32974.000000
512,1598034.836860,1610502.425206,1610502.425206,1610502.425206,1610502.425206,1610502.425206,26380.000000,26380.000000,26380.000000,26380.000000,26380.000000,26380.000000
4096,2384598.345313,2399011.270306,2399011.270306,2399011.285897,2399011.285897,2399011.270306,41128.000000,41128.000000,41128.000000,41128.000000,41128.000000,41128.000000
16384,2363528.571185,2397666.426863,2397666.359406,2397666.350301,2397666.410322,2397666.359406,43045.000000,42841.000000,42841.000000,42841.000000,42841.000000,42841.000000
8192,1801117.331921,1804093.885755,1804269.496786,1804269.496786,1804093.885755,1804269.496786,25485.000000,25485.000000,25485.000000,25485.000000,25485.000000,25485.000000
65536,2505177.563657,2505177.563657,2505177.563657,2505177.563657,2505177.563657,2505177.563657,43291.000000,43291.000000,43291.000000,43291.000000,43291.000000,43291.000000
