frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,119080.985703,105988.000000,55.443665
4,192282.841736,135050.000000,194.355345
8,221930.154393,138892.000000,46.097722
16,226377.695469,170132.000000,488.359499
32,105689.309734,56120.000000,155.354433
64,245132.535019,202390.000000,5966.894502
128,123498.900667,106672.000000,238.176405
256,328151.158685,259439.000000,815.715024
512,369763.957838,264721.000000,22932.726353
1024,265169.994064,229428.000000,14725.334224
2048,500919.972868,310900.000000,21074.276215
4096,260855.144394,129601.000000,70352.214095
8192,97916.096797,24428.000000,68896.773596
16384,722649.165051,267731.000000,443007.030603
32768,451649.291800,156587.000000,334896.924539
65536,743698.231680,266460.000000,733028.294308
