frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,216423.905692,175859.000000,321.093444
4,350168.270454,283629.000000,3442.035590
8,97405.255869,58904.000000,228.460062
16,182953.812311,113525.000000,609.334063
32,340427.429713,270510.000000,76.668116
64,307978.061521,126555.000000,2457.925345
128,193315.194799,114589.000000,979.847437
256,137879.900087,57305.000000,481.985477
512,567716.462965,277405.000000,5632.864103
1024,245963.300319,205233.000000,33768.760060
2048,489106.022758,305460.000000,21284.908668
4096,528346.375789,245826.000000,266734.369315
8192,595156.911374,267410.000000,36225.731532
16384,807784.539530,284010.000000,373850.147040
32768,612880.096728,248611.000000,296913.270242
65536,273725.229809,159282.000000,130811.716662
