frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,236718.334165,168721.000000,62.513998
4,279559.307023,236943.000000,139.391535
8,144307.642667,122897.000000,77.749598
16,324478.473445,246345.000000,21.236761
32,216331.852881,193937.000000,100.289581
64,380441.448567,242806.000000,2861.729023
128,255272.696401,159437.000000,307.475202
256,191843.903526,132107.000000,1107.428553
512,117068.725102,63646.000000,1004.284820
1024,188837.860163,148539.000000,148640.683839
2048,251251.300610,191719.000000,42547.663708
4096,177275.429727,148274.000000,5072.666360
8192,364890.449891,291669.000000,43991.079232
16384,300771.543074,129866.000000,253096.745750
32768,240384.444983,121335.000000,196781.381398
65536,262628.769250,135893.000000,0.000000
