frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,472093.630555,271741.000000,76.406806
4,350965.113393,234829.000000,81.663946
8,223040.436036,158013.000000,140.797727
16,553517.826956,295673.000000,266.229225
32,556075.521529,260470.000000,150.266430
64,729656.466460,283899.000000,1195.394496
128,704618.939652,267912.000000,3801.710536
256,688746.428903,258251.000000,6277.784561
512,396221.175938,143591.000000,3123.215170
1024,565452.561840,241957.000000,106651.005912
2048,403247.580123,205348.000000,149582.824191
4096,1208897.367236,293662.000000,251762.315868
8192,890305.894323,282234.000000,631812.972418
16384,609162.314052,216190.000000,54581.703088
32768,1085127.627747,239802.000000,765747.868182
65536,705423.261092,264267.000000,552810.754951
