frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,203072.933827,130053.000000,25.961510
4,251929.726299,152300.000000,4226.336002
8,539697.281424,233357.000000,52.163205
16,137648.184365,60538.000000,2737.790898
32,318186.423623,191612.000000,373.844888
64,646717.198816,277105.000000,86.642945
128,618650.879074,276365.000000,3197.823791
256,634209.014143,273774.000000,1254.525010
512,934327.338445,278402.000000,2830.621133
1024,898712.443294,285083.000000,68493.010125
2048,231094.862295,95822.000000,46942.037557
4096,818826.286287,247820.000000,91838.272507
8192,732466.916814,243779.000000,195474.899995
16384,1226120.210558,232188.000000,410085.386405
32768,1503789.086668,196716.000000,1446166.627163
65536,270085.794136,82358.000000,255029.768917
