mean_inter_arrival_time,L2_norm_flow_time
20.0,9409531.375355959
22.0,8677931.97765866
24.0,7862106.970741181
26.0,6886532.566319721
28.0,5429740.08657886
30.0,2570952.64780802
32.0,312420.24868006
34.0,131217.24265295998
36.0,78650.78197038
38.0,76815.61476863999
40.0,61658.39389102
