coherence_time,L2_norm_flow_time
2,164453986.697735
4,171208277.17803308
8,168405536.3362096
16,168540082.4920645
32,171004748.4174651
64,169532229.6799233
128,169584808.5828516
256,170780990.0043764
512,169131855.5556753
1024,169724443.4850803
2048,168007605.79284948
4096,170476354.4406741
8192,164611855.93573648
16384,168375864.20426312
32768,173385334.32235712
65536,173908017.8818789
