frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,469947.726657,107989.000000,2744.523820
4,1894592.930578,299360.000000,198.277583
8,2088630.036857,294914.000000,10105.048689
16,2636092.299053,296105.000000,20014.263589
32,1921909.950716,296232.000000,145.310013
64,2694965.552267,299883.000000,273460.555620
128,3022250.988288,298593.000000,364819.515884
256,2763354.094550,295601.000000,210102.791973
512,3208666.462591,289345.000000,567817.288786
1024,2835210.083401,297829.000000,73322.677658
2048,3039727.458866,300298.000000,366211.635902
4096,3131335.122300,300921.000000,509609.687364
8192,3147367.607533,280605.000000,643765.800454
16384,4925625.784202,287033.000000,3511638.869351
32768,5643312.941196,297000.000000,4034825.001489
65536,2863666.510342,280799.000000,1997925.128405
