frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1546567.173402,275835.000000,23.000000
4,1863872.196150,294850.000000,289.091681
8,1644373.261908,273394.000000,109119.468767
16,1988217.272261,286155.000000,151660.172158
32,924136.160244,140209.000000,154.512135
64,2348273.404600,296338.000000,91424.559064
128,2780824.505847,300372.000000,211079.829619
256,2346536.448895,293983.000000,16087.884013
512,2936681.720310,302609.000000,788578.168702
1024,3245307.144212,300703.000000,344852.896231
2048,2405365.742052,291902.000000,502669.111762
4096,3074744.200709,281348.000000,1120627.877641
8192,2859170.509554,255968.000000,275202.175820
16384,2492843.333083,226824.000000,1711155.338029
32768,3778589.341530,286086.000000,2612996.068034
65536,3053990.400527,244064.000000,1282096.206824
