frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1843324.593361,253029.000000,113.419575
4,2386947.403857,292801.000000,45357.259397
8,2180507.823623,297848.000000,2324.553506
16,1461150.704824,293827.000000,766.795279
32,3275661.652542,302498.000000,7236.777252
64,1952455.351331,296621.000000,554.287831
128,2322172.593971,296666.000000,123137.375179
256,3673892.046547,302514.000000,26381.834167
512,3434199.910518,289983.000000,523055.903914
1024,2596618.186138,289956.000000,175978.355536
2048,2882641.950924,298630.000000,544688.458485
4096,3237921.651679,268882.000000,291501.915150
8192,3454694.360678,262229.000000,2149643.285743
16384,3508162.534131,289986.000000,161638.045017
32768,4788882.542859,299913.000000,3824207.546104
65536,4803072.202739,272528.000000,4729529.531884
