frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1356437.792604,225515.000000,87.469995
4,1186558.136072,287573.000000,62.289646
8,2035709.736987,294674.000000,6431.316195
16,2774849.157999,300503.000000,486.864458
32,2426254.846978,279880.000000,99075.096750
64,2847579.907590,292317.000000,2150.791017
128,2671184.019154,270112.000000,127236.287332
256,2747707.287731,295738.000000,549904.295334
512,2122284.747949,295279.000000,69089.730691
1024,2857152.036101,287623.000000,745875.955711
2048,2012342.668620,259827.000000,616076.761466
4096,3481044.958091,303454.000000,1000578.505971
8192,3170143.549887,290334.000000,1034264.645302
16384,1733666.586162,306290.000000,572324.638843
32768,1660224.668037,114244.000000,1381621.636322
65536,3016399.431730,242941.000000,2300795.571759
