frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1446324.679528,250931.000000,60.539243
4,1568996.142375,272753.000000,186.104809
8,2089337.325628,282220.000000,41382.814597
16,1849150.123988,295449.000000,11237.486596
32,2568712.683560,284016.000000,641.315055
64,3139235.907344,303438.000000,303444.170129
128,2549207.744845,297035.000000,269712.225264
256,3131224.630868,302550.000000,279468.539585
512,2538120.105762,291068.000000,144226.965308
1024,2960965.165338,277947.000000,133958.659082
2048,3073704.589973,302425.000000,282838.918788
4096,3433898.590824,291964.000000,758799.884732
8192,2146151.326460,247663.000000,157990.794096
16384,3660175.002014,270313.000000,2287406.520554
32768,4997521.177201,303717.000000,1315836.533422
65536,2133316.782259,182118.000000,1821883.667672
