frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1317829.970544,238540.000000,163.275840
4,1092997.199194,240281.000000,381.668705
8,1551239.605266,251890.000000,279.878545
16,1442634.966709,267038.000000,333.971556
32,2405951.475034,292086.000000,34318.413556
64,2362921.598484,279870.000000,210396.036127
128,2180776.211231,277898.000000,4038.243925
256,1899300.376949,271007.000000,160330.820892
512,3037625.399744,284675.000000,350105.605278
1024,2956437.430002,300417.000000,617575.518428
2048,2581265.361424,294657.000000,123994.663913
4096,3219990.616132,290580.000000,207767.028106
8192,3108041.882489,258620.000000,1019831.618823
16384,3221153.656448,292413.000000,281483.444151
32768,5264624.473163,303688.000000,3652931.971947
65536,1933272.070446,135106.000000,1767604.706808
