arrival_rate,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,25709459.200022627,16036050.93620602,41139004.88134429,40849152.60293137,26499807.43823077,16036050.93620602,36205641.07536628,17298303.830440372
22,25024028.017525777,15619988.684423335,35321200.74612082,38035115.82833591,25950630.572323613,15619988.684423335,34373499.15227101,16941090.249431793
24,1836309.9559083155,1213569.4806021615,2396459.538997894,5245883.040551228,2002153.461727397,1213569.4806021615,2098931.623912985,1211925.9603849568
26,13442886.233974868,8758364.701906001,18875288.190576773,17377914.83719799,14864337.12283797,8758364.701906001,17927346.636266142,8705319.879039943
28,22183937.863833576,14014537.952049008,33248787.294545677,36127579.14647853,23611412.878099546,14014537.952049008,31932302.186002906,14984965.070359023
30,161090.8196732514,111053.83992010362,242686.18822874944,388896.8609515896,200860.22983906,111053.83992010362,208682.56380445397,110997.96732823535
32,116645.95995147024,93285.94071455784,116755.9186850928,624711.3095438564,116392.33764299091,93285.94071455784,119524.6876046953,93180.57065719226
34,61697.16274675846,50681.36680280042,68390.21217981415,231243.21616211793,66091.26579208481,50681.36680280042,65357.11365260862,50639.32717759982
36,41719.82301017108,33549.94214600079,43060.02206223308,99382.84145666192,44467.298579967726,33549.94214600079,44195.05199680163,33549.94214600079
38,7286946.389769861,4801235.6200896865,10933523.76855472,10381832.212246064,8707867.428025188,4801235.6200896865,9902686.62786246,4133303.104357821
40,6578506.569477985,4255821.8908960465,9733207.18635728,12396512.958400963,7584631.17349064,4255821.8908960465,8393085.493458351,3784671.990575009
