arrival_rate,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,Rdynamic_L2_Norm
20,588621.5900160306,368040.5395496534,1197185.2082589394,1223212.7413933359,606111.1701973492,368040.5395496534,802235.4045116683
22,1424290.6034454484,874040.5908749319,1550195.3341408302,1301512.7786433755,1463725.475918555,874040.5908749319,1350005.1909544645
24,94344.85374412322,64753.91747222711,155731.45349607445,273518.1789954737,102449.45641144222,65047.1155086834,101282.50106509021
26,30685.635043127266,26890.188861367264,28270.423555369664,108721.2459227726,28795.340456400234,26890.188861367264,29080.15378226188
28,8881.346801020665,7749.0610398938015,9251.314771425736,36902.76121105303,8984.63416060999,7749.0610398938015,9056.347884219113
30,26924.975060341283,22621.138742335675,29601.153001192368,155256.53252601,27223.361034229405,22621.138742335675,26278.371639049477
32,363433.1061337148,228114.08622660724,493529.22762486927,1215715.784133364,373602.88501428894,228114.08622660724,461217.6577365615
34,311780.80870701454,198766.47722893316,416100.161093456,841315.2225931729,316342.52020081016,198766.47722893316,347529.1718489255
36,47483.94661356615,45206.251127471296,45891.454781909015,504535.56400614616,46131.68666979347,45206.251127471296,46512.55744419995
38,264127.10293909634,244650.4016612276,294690.56828476884,4294205.587361649,268256.5066312465,244650.4016612276,276668.42684881843
40,91723.56504192366,56751.40644953216,99206.1889097651,137067.4922182499,93098.96335620499,56751.40644953216,108246.38039675969
